AU1Variation;AU11Variation;AU21Variation;AU22Variation;AU4Variation;AU51Variation;AU52Variation;AU61Variation;AU62Variation;AU91Variation;AU92Variation;AU10Variation;AU12Variation;AU151Variation;AU152Variation;AU17Variation;AU20Variation;AU23Variation;AU24Variation;AU25Variation;AU26Variation;AU27Variation
-4.0831891575845916;-6.767238905465431;-5.033330882565345;-5.385878973415615;3.1065056475329946;-4.055385138137417;-3.8466945527984295;-4.055385138137417;-3.8466945527984295;-12.398075933324193;-14.888214269267259;-1.796715596648827;-16.892281869660835;7.269193887070671;11.961118483467672;-0.9957983053706769;3.099932375146082;-16.892281869660835;0.9782711335573246;1.0;2.0957573075500733;2.0957573075500733
-1.4945238496798758;1.9876463334207664;-5.835747052381663;-3.6028091823893504;-10.019992006393608;-4.876894374382339;-4.041594578792296;-4.876894374382339;-4.041594578792296;-11.423537275899108;-9.101326595749129;-3.993001212067538;-2.9996606910971906;0.17765131165378634;0.44661909401262534;0.9602232253814265;-4.93712447335264;-2.9996606910971906;4.973702409559554;6.0;-3.9954699930283653;-3.9954699930283653
-7.698675393267223;-7.80849682681534;-4.3452693193721;-2.8308758305217907;-6.994933173164593;-6.038404810405298;-4.97052676692682;-6.038404810405298;-4.97052676692682;-16.290396183847918;-16.741676208770286;-1.9982631399509323;-11.982481299907406;-7.930742515702271;-6.756020969730322;0.036351623268053856;2.0312423743284853;-11.982481299907406;1.998959147556974;0.0;2.0;2.0
-6.389153473262809;-6.262612068888529;-3.803848602472094;-4.7886140011386615;-5.986577768271314;-2.0384048104052983;-4.033296378372908;-2.0384048104052983;-4.033296378372908;-18.0614146265266;-17.536160983792627;-6.889969595123683;-5.9409378347750135;-3.473463030990601;-4.747725005154479;-2.8867260093139606;5.992495353564571;-5.9409378347750135;3.975402850198158;0.0;3.063337924431906;3.063337924431906
-6.912698004250604;-2.797058982529112;-6.3610132364352125;-8.723177866371998;-2.9379790442748934;-8.960151730015923;-7.0654092590875734;-8.960151730015923;-7.0654092590875734;-18.919205036482367;-16.614564774187215;-2.8762690967943882;-6.968811862759054;-3.8627084641351317;-3.689775063152709;-6.818059939573942;-1.0373846850792887;-6.968811862759054;-3.9373638491249103;2.0;-7.931369573834942;-7.931369573834942
-7.85029887932928;-2.797058982529112;-2.127263861027302;-1.8593787688785142;-3.711330220109332;-8.751109652600881;-4.98672034877691;-8.751109652600881;-4.98672034877691;-13.232362174480784;-10.790391711517799;-2.7297069317692007;2.135172777448517;-6.700924350458784;-3.6108412867173456;-0.9856210150274052;2.7107155116810446;2.135172777448517;1.8352183417030972;-0.8284271247461903;1.7714271905181107;1.7714271905181107
-9.93151354580531;-9.234544169578363;-4.5886664747454375;-3.673915545613035;-1.9988885814478294;-5.9289321881345245;-7.0249843945007875;-5.9289321881345245;-7.0249843945007875;-20.429158499206864;-19.234367764684606;-0.05758595829522051;-1.038720779449477;0.5778945479915194;-0.12436926325177211;-1.0424574565296183;6.055660165179447;-1.038720779449477;-0.9994963486225963;0.0;5.032595562283376;5.032595562283376
-4.814514051013276;-6.881326853357759;-6.4982645794539735;-5.760517471352017;-0.8664979751789765;-3.033296378372908;-4.0;-3.033296378372908;-4.0;-7.82624640858343;-9.966073454507736;-2.8140739095197844;-7.9759071112487305;-3.483520306326426;-1.2152546374527589;0.06802195422548607;2.00833275470999;-7.9759071112487305;3.0;0.0;1.9989767203888107;1.9989767203888107
-8.673489550733805;-7.953960625230469;-5.505024661926804;-6.558438238904493;3.8940881001410155;-13.033296378372908;-10.0;-13.033296378372908;-10.0;-18.871303483356158;-17.796225756642457;-4.976203958371361;-8.996915174342163;2.636765118217909;3.4581297875537516;-2.0099990001999473;7.9666759207854625;-8.996915174342163;2.997687873283965;2.23606797749979;5.995454639365022;5.995454639365022
-9.028288876705123;-10.613659182176427;-8.180043050076137;-5.916730868040162;-2.9931114387817352;-4.985858524694137;-2.079550734393436;-4.985858524694137;-2.079550734393436;-18.014836520064065;-17.021764220097793;-3.0;-18.952998492753593;6.8979879540629625;5.1305317195567355;-1.9907415344368928;6.990909842099732;-18.952998492753593;1.0147027033899008;5.062257748298549;4.999805851639067;4.999805851639067
-4.514651967861624;-8.134275503989457;-4.51067739753902;-4.237026146008063;-0.9977090492485488;-3.045361017187261;-4.078837958218392;-3.045361017187261;-4.078837958218392;-18.509790284326826;-19.31500259027834;-8.0;-8.045386253607163;-2.606635040274938;-1.30601535187688;-8.998148725855508;7.023159519183025;-8.045386253607163;-0.9994627989343776;0.0;-2.0136742845826774;-2.0136742845826774
-4.753656577955077;-6.867675632781019;-4.596942535195751;-5.0446815282397;-3.083491800104767;-6.713849490068539;-8.051969615703193;-6.713849490068539;-8.051969615703193;-10.084173236138511;-13.29966983374598;-5.948756240448116;-1.5184777843710293;-3.4879285026809015;-6.653476296374947;-8.607153855951523;9.683875889075892;-1.5184777843710293;-2.635300064725161;1.2360679774997898;0.9913796477570855;0.9913796477570855
-9.35111999945509;-10.181336502958526;-7.47497688014986;-3.6220299219187098;-7.902968317518223;-7.041594578792296;-5.04987562112089;-7.041594578792296;-5.04987562112089;-18.49068080694306;-15.881430835958838;-3.0867927612303916;-1.9485787683323252;-4.021155485000406;0.8120584747887634;6.968787242169682;-6.999129516293827;-1.9485787683323252;10.013511046643494;14.035668847618199;-0.03845521878696445;-0.03845521878696445
-6.650408388807151;-5.248442617370738;-4.458943899421428;-7.882071086156955;-6.994933173164593;-3.9793368304937466;-4.985858524694137;-3.9793368304937466;-4.985858524694137;-15.774890136016381;-15.075760782616939;-2.7873314838738956;-1.1757706770521281;-1.038155794479458;1.322542237341544;5.067993238697575;-3.0877989275486684;-1.1757706770521281;7.890940871503961;8.635662058747794;1.9908172227636385;1.9908172227636385
-7.418421787507203;-5.530512885595503;-6.882505103573479;-6.178235320589032;-13.01281840626232;-3.954638982812739;-5.066454863868872;-3.954638982812739;-5.066454863868872;-18.231188547743372;-18.5776814033527;-4.88275723137631;-5.868811208263537;0.8358970969717134;-1.2087703616152652;-5.860387271986454;9.710241762177787;-5.868811208263537;-0.9591409901986125;-0.41421356237309515;3.992067188447052;3.992067188447052
-7.299298636757374;-5.0;-8.657260451164909;-8.140524096682;-6.99292607207493;-7.939385296812514;-6.0;-7.939385296812514;-6.0;-13.277765945133439;-10.316582167387338;-6.9750156054992125;2.993976122211464;-3.132687339332172;-3.5759230376955387;-7.0;2.9737236564909395;2.993976122211464;0.02379604162863913;1.0;-4.013964402588883;-4.013964402588883
-6.983063623771137;-8.333340474759456;-5.2848489949869375;-4.490547771219276;0.0;-8.650504040483696;-8.960151730015923;-8.650504040483696;-8.960151730015923;-13.136315404273262;-13.79228974556581;-6.026297590440446;3.9658086157445496;-3.149480389368655;-4.471802201242312;-5.99820655183435;10.03923938833006;3.9658086157445496;-0.05988040157529895;3.0;4.038784138909705;4.038784138909705
-10.090037593827109;-8.406852418853415;-4.226249816493166;-5.421708043286223;-3.1402636742638386;-8.900980486407216;-10.026297590440446;-8.900980486407216;-10.026297590440446;-14.766182052038289;-15.323563018705954;-13.649906785662395;-2.0486099417653065;-13.190372606120853;-11.403316590587266;-10.881804485448711;8.969748845647821;-2.0486099417653065;2.9324309012849845;4.0;-1.9975044292866926;-1.9975044292866926
-5.271228818009579;-3.0231451768213127;-1.3845114599824981;-0.5131066589666915;-0.053486242992597965;-5.0;-5.97341109931965;-5.0;-5.97341109931965;-13.979408513562248;-14.31153039080489;-0.9750156054992125;-2.951080065044522;1.3963591679845635;0.04378979313014497;-1.9646232396458316;3.9922027512298968;-2.951080065044522;-0.9990954324859516;0.0;2.0482539839493796;2.0482539839493796
-3.12888855557863;-2.879610877893267;-2.095574188821729;-5.110947167097528;-6.018512172212592;-6.045361017187261;-7.045361017187261;-6.045361017187261;-7.045361017187261;-9.466907149137157;-10.228209900246839;-0.910513608696256;1.0902222263997743;1.281979944678099;-0.5633066921336507;9.979460029567072;-2.9956236393615043;1.0902222263997743;10.931093642438604;10.585786437626904;6.988023990996737;6.988023990996737
