AU1Variation;AU11Variation;AU21Variation;AU22Variation;AU4Variation;AU51Variation;AU52Variation;AU61Variation;AU62Variation;AU91Variation;AU92Variation;AU10Variation;AU12Variation;AU151Variation;AU152Variation;AU17Variation;AU20Variation;AU23Variation;AU24Variation;AU25Variation;AU26Variation;AU27Variation
-6.846896657869841;-6.837866825692927;-2.8338390718329123;-4.569840066483351;-7.051791730630079;-7.0312195418813985;-7.17030693280161;-7.0312195418813985;-7.17030693280161;-14.768890890790829;-15.212534412965397;-2.972243622680054;3.895989111542278;-0.5317268998780236;0.8924484085220499;0.9744441821282237;0.9498861065417685;3.895989111542278;3.9949969023763856;3.0;1.9222042737739002;1.9222042737739002
2.322353675343237;1.28591323095457;-6.7043431068904695;-5.535665902253669;-7.978271133557325;-8.944614861862583;-8.051969615703193;-8.944614861862583;-8.051969615703193;-9.350290163447411;-9.124421270044166;-4.978271133557325;-2.0633313280938808;2.869151023565607;3.3612378688882742;15.997951746406663;-3.9642970955124;-2.0633313280938808;20.981487827787408;17.0;11.999589202951626;11.999589202951626
-3.745236090146193;-4.404165089875875;-2.9736658993966287;-5.936234870441787;0.7488222867760292;-4.97052676692682;-4.989351566914648;-4.97052676692682;-4.989351566914648;-7.854658234012831;-11.612771391387497;-4.92779013783807;-1.864208880898218;-0.6043393182812835;-1.7503744083349062;-2.8354596543435377;2.7830757599233564;-1.864208880898218;2.0834460598468496;1.7480640977952844;0.0;0.0
-6.961441413103891;-5.954954997740536;-3.7808445152365806;-4.4819684132700885;-0.9368028488090161;-5.045361017187261;-5.926769995503229;-5.045361017187261;-5.926769995503229;-9.856283328451958;-11.862232585005465;-3.977780341105298;1.999228692720024;-0.5344310572570024;-0.11039838982186012;8.052738273083214;-6.063026371544574;1.999228692720024;12.036754468004442;11.041594578792296;1.9795939612572369;1.9795939612572369
-6.263794367902133;-6.940661530661217;-2.7734590850254506;-1.0303838043257016;-1.999081516225658;-5.045361017187261;-5.165525060596439;-5.045361017187261;-5.165525060596439;-13.088967160978129;-13.883368239754986;-1.0;1.0560536788093415;-4.918878957481425;-3.9470875970243853;-1.9991347615848412;3.9991658852547616;1.0560536788093415;-0.9983700113935434;0.0;1.9756133823604927;1.9756133823604927
-5.0917510493174625;-5.312682924655377;-1.0912008204153452;-1.4140771540284618;0.8998818339915005;-2.983103268888712;-5.0693043269246;-2.983103268888712;-5.0693043269246;-11.300111548652538;-13.03644305756032;-4.065636743802585;0.9951065791016447;-2.23044737829953;-1.3983676557610139;-0.9912263882846588;2.990984247735433;0.9951065791016447;3.1334015527390697;-0.5857864376269049;1.989850525317351;1.989850525317351
-12.362578161226914;-11.018860862969365;-9.983670584135517;-10.616583131752819;-4.356987815285581;-7.937742251701451;2.855337972703179;-7.937742251701451;2.855337972703179;-19.01879657731176;-15.279380541947049;-3.9004688979036892;7.1131441784603595;-1.6777657480201853;-7.789852807114805;-9.679295518143292;6.96519197756254;7.1131441784603595;-5.780682632443721;3.0415945787922958;-2.7195316756615426;-2.7195316756615426
-9.219842746481145;-8.145402165426336;-6.774137348414072;-4.992881993818379;-3.04520282666898;-4.0;-3.0;-4.0;-3.0;-14.751249922914326;-13.75769587443348;-5.776426602233663;-3.7752426611944685;-4.624622597586111;0.18681242390345432;4.201605224498763;-3.290482471768442;-3.7752426611944685;10.049562711816584;9.631147454814165;0.7335150666578585;0.7335150666578585
-6.707521477814076;-5.846237172580626;-3.512487006911215;-1.4297156072118682;8.983875161458354;-4.033296378372908;-3.9446148618625827;-4.033296378372908;-3.9446148618625827;-11.139908056291105;-11.005434622091755;-0.9947780676989808;-1.9975042895011939;-2.43977516211487;-1.4528683096072825;-0.996615897958236;3.929303399357231;-1.9975042895011939;0.0;3.8466945527984295;2.883738002929789;2.883738002929789
-2.2331281595264194;-1.397758274679294;-3.233048343083631;-3.106146548958044;3.985339334979386;-5.033296378372908;-6.07908781457742;-5.033296378372908;-6.07908781457742;-5.982390719333907;-6.973358904222621;-3.9167556918998763;-5.048983899332143;-2.4757490695998214;-1.412437236850522;-1.9200731031834124;4.851140254339782;-5.048983899332143;1.9941003333928613;0.0;2.9864830655445616;2.9864830655445616
